,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
89,Rice,Kansas,2023-12-19,Commercial Table Egg Layer,800000,KS,20159,-98.20053402,38.34721983
90,Lassen,California,2023-12-19,WOAH Non-Poultry,90,CA,6035,-120.5947447,40.6733613
91,Mcpherson,Kansas,2023-12-19,WOAH Poultry,20000,KS,,,
92,Mendocino,California,2022-12-19,WOAH Non-Poultry,20,CA,6045,-123.3914743,39.44027921
93,Rooks,Kansas,2024-12-18,Commercial Raised for Release Upland Game Bird,5300,KS,20163,-99.3248686,39.35022485
94,Jefferson Davis,Louisiana,2024-12-18,WOAH Non-Poultry,30,LA,22053,-92.8140461,30.26796744
95,Nelson,North Dakota,2024-12-18,WOAH Non-Poultry,60,ND,38063,-98.19212605,47.92171706
96,Doniphan,Kansas,2024-12-18,Commercial Raised for Release Upland Game Bird,5700,KS,20043,-95.14683558,39.78796644
97,Howard,Missouri,2024-12-18,WOAH Non-Poultry,60,MO,29089,-92.69630819,39.1425032
98,Sonoma,California,2023-12-18,WOAH Poultry,38100,CA,6097,-122.8872965,38.52842052
99,Sonoma,California,2023-12-18,Commercial Table Egg Layer,497700,CA,6097,-122.8872965,38.52842052
100,Rice,Kansas,2023-12-18,WOAH Non-Poultry,100,KS,20159,-98.20053402,38.34721983
101,Edmunds,South Dakota,2023-12-18,Commercial Upland Gamebird Producer,1000,SD,46045,-99.21540939,45.41847898
102,Lemhi,Idaho,2024-12-17,WOAH Non-Poultry,150,ID,16059,-113.9335998,44.9436279
103,Lemhi,Idaho,2024-12-17,WOAH Non-Poultry,20,ID,16059,-113.9335998,44.9436279
104,Stanislaus,California,2024-12-17,Commercial Turkey Meat Bird,33100,CA,6099,-120.9979524,37.55851635
105,Charles Mix,South Dakota,2024-12-17,WOAH Poultry,1800,SD,46023,-98.58785039,43.20792726
106,Bon Homme,South Dakota,2024-12-17,Commercial Turkey Meat Bird,48700,SD,46009,-97.88493814,42.98827986
107,Charles Mix,South Dakota,2024-12-17,Commercial Turkey Meat Bird,74800,SD,46023,-98.58785039,43.20792726
108,Lancaster,Nebraska,2024-12-17,WOAH Poultry,290,NE,31109,-96.68776297,40.78416865
109,Monona,Iowa,2024-12-17,WOAH Non-Poultry,30,IA,19133,-95.95997093,42.05236881
110,Worth,Iowa,2024-12-17,Commercial Turkey Meat Bird,19500,IA,19195,-93.26085274,43.37747964
111,O'Brien,Iowa,2024-12-17,Commercial Table Egg Layer,351400,IA,19141,-95.62474725,43.0836202
